Original		Modificado	
Desplazamiento (mm)	Fuerza (kN)	Desplazamiento (mm)	Fuerza (kN)
-91.8685121107266	-30.4347826086956	-91.8685121107266	-30.4347826086956
-84.2560553633218	-37.6811594202898	-84.2560553633218	-37.6811594202898
-76.6435986159169	-44.927536231884	-76.6435986159169	-44.927536231884
-69.3771626297577	-46.3768115942028	-69.3771626297577	-46.3768115942028
-62.1107266435986	-47.8260869565217	-62.1107266435986	-47.8260869565217
-55.1903114186851	-46.3768115942028	-55.1903114186851	-46.3768115942028
-48.2698961937716	-50.7246376811594	-48.2698961937716	-50.7246376811594
-37.5432525951557	-52.1739130434783	-37.5432525951557	-52.1739130434783
-29.2387543252595	-47.8260869565217	-29.2387543252595	-47.8260869565217
-23.0103806228373	-44.927536231884	-23.0103806228373	-44.927536231884
-18.1660899653979	-40.5797101449275	-18.1660899653979	-40.5797101449275
-11.9377162629757	-37.6811594202898	-11.9377162629757	-37.6811594202898
-8.47750865051904	-31.8840579710145	-8.47750865051904	-31.8840579710145
-0.173010380622827	-4.3478260869565	-0.173010380622827	-4.3478260869565
10.553633217993081	34.782608695652186	10.553633217993081	34.782608695652186
14.359861591695505	40.57971014492756	14.359861591695505	40.57971014492756
19.896193771626287	43.47826086956525	19.896193771626287	43.47826086956525
25.432525951557096	46.37681159420288	25.432525951557096	46.37681159420288
31.660899653979243	50.724637681159436	31.660899653979243	50.724637681159436
39.96539792387543	55.07246376811594	39.96539792387543	55.07246376811594
51.03806228373702	53.62318840579712	51.03806228373702	53.62318840579712
57.61245674740482	50.724637681159436	57.61245674740482	50.724637681159436
65.57093425605535	50.724637681159436	65.57093425605535	50.724637681159436
71.7993079584775	49.27536231884062	71.7993079584775	49.27536231884062
79.75778546712803	42.028985507246375	79.75778546712803	42.028985507246375
87.0242214532872	33.33333333333337	87.0242214532872	33.33333333333337
