Original		Modificado	
Desplazamiento (mm)	Fuerza (kN)	Desplazamiento (mm)	Fuerza (kN)
0	0.042372881	0	0.042372881
0	15.55084746	0	15.55084746
0.930232558	20.25817895	0.930232558	20.25817895
2.674418605	25.98590855	2.674418605	25.98590855
4.76744186	30.31681119	4.76744186	30.31681119
7.674418605	33.50709499	7.674418605	33.50709499
14.65116279	37.60445408	14.65116279	37.60445408
22.55813953	40.81592432	22.55813953	40.81592432
29.65116279	44.02394561	29.65116279	44.02394561
35.69767442	40.10888845	35.69767442	40.10888845
36.39534884	34.77286165	36.39534884	34.77286165
36.86046512	27.65618841	36.86046512	27.65618841
